date,revenue,discount_pct,promo_flag,marketing_spend,stockout_flag,category
2023-01-01,752.59,0,0,58.92,0,C
2023-01-02,763.36,0,0,50.84,0,A
2023-01-03,899.17,0,0,35.58,0,C
2023-01-04,924.26,0,0,28.11,0,C
2023-01-05,191.92,0,0,27.02,1,A
2023-01-06,726.57,0,0,26.2,0,B
2023-01-07,186.12,0,0,58.27,1,A
2023-01-08,743.72,0,0,41.08,0,C
2023-01-09,820.24,0,0,33.0,0,A
2023-01-10,853.15,0,0,61.51,0,A
2023-01-11,940.27,0,0,61.21,0,A
2023-01-12,894.86,0,0,52.35,0,A
2023-01-13,800.53,0,0,76.1,0,A
2023-01-14,800.41,0,0,43.12,0,B
2023-01-15,851.6,10,1,606.78,0,B
2023-01-16,875.28,15,1,513.85,0,B
2023-01-17,918.73,0,0,64.39,0,A
2023-01-18,884.15,0,0,79.31,0,A
2023-01-19,916.25,0,0,70.8,0,C
2023-01-20,811.21,0,0,54.78,0,A
2023-01-21,764.97,0,0,57.61,0,A
2023-01-22,762.04,0,0,41.2,0,B
2023-01-23,903.98,0,0,60.77,0,A
2023-01-24,913.98,0,0,66.22,0,B
2023-01-25,921.4,0,0,79.89,0,C
2023-01-26,881.88,0,0,49.55,0,A
2023-01-27,848.77,0,0,23.68,0,C
2023-01-28,802.61,0,0,55.75,0,B
2023-01-29,820.71,0,0,27.14,0,B
2023-01-30,886.53,0,0,34.69,0,B
2023-01-31,1019.91,0,0,39.73,0,B
2023-02-01,936.78,0,0,63.86,0,A
2023-02-02,889.74,0,0,31.03,0,A
2023-02-03,162.06,0,0,29.95,0,C
2023-02-04,825.93,0,0,22.7,0,A
2023-02-05,866.45,0,0,72.39,0,C
2023-02-06,880.78,0,0,61.61,0,B
2023-02-07,914.34,0,0,22.4,0,C
2023-02-08,932.37,0,0,21.7,0,B
2023-02-09,951.66,0,0,53.52,0,B
2023-02-10,887.08,0,0,36.95,0,B
2023-02-11,838.66,0,0,55.8,0,B
2023-02-12,807.19,0,0,46.08,0,A
2023-02-13,908.99,0,0,75.4,0,B
2023-02-14,966.88,0,0,37.27,0,B
2023-02-15,1057.22,15,1,233.13,0,A
2023-02-16,1030.31,10,1,408.97,0,C
2023-02-17,881.34,0,0,77.35,0,B
2023-02-18,858.11,0,0,78.85,0,A
2023-02-19,850.11,0,0,64.34,0,C
2023-02-20,922.41,0,0,47.91,0,A
2023-02-21,999.59,0,0,33.2,0,B
2023-02-22,934.94,0,0,68.75,0,B
2023-02-23,938.55,0,0,64.18,0,B
2023-02-24,863.16,0,0,33.32,0,C
2023-02-25,815.39,0,0,47.07,0,C
2023-02-26,846.97,0,0,47.77,0,B
2023-02-27,982.92,0,0,69.58,0,C
2023-02-28,952.09,0,0,61.03,0,C
2023-03-01,1042.24,0,0,58.59,0,C
2023-03-02,894.35,0,0,58.99,0,B
2023-03-03,879.11,0,0,36.23,0,A
2023-03-04,857.4,0,0,42.3,0,A
2023-03-05,890.14,0,0,22.74,0,B
2023-03-06,961.21,0,0,67.22,0,B
2023-03-07,1027.24,0,0,45.98,0,A
2023-03-08,998.26,0,0,46.29,0,A
2023-03-09,951.06,0,0,34.72,0,C
2023-03-10,935.52,0,0,32.57,0,C
2023-03-11,852.54,0,0,55.27,0,C
2023-03-12,824.65,0,0,33.95,0,A
2023-03-13,893.46,0,0,23.85,0,A
2023-03-14,967.71,0,0,66.05,0,A
2023-03-15,1154.88,20,1,687.05,0,C
2023-03-16,1021.13,5,1,409.74,0,B
2023-03-17,936.76,0,0,45.88,0,C
2023-03-18,850.82,0,0,68.9,0,B
2023-03-19,177.82,0,0,39.25,0,B
2023-03-20,972.46,0,0,65.48,0,B
2023-03-21,998.96,0,0,76.37,0,C
2023-03-22,1044.98,0,0,59.65,0,B
2023-03-23,957.0,0,0,45.9,0,B
2023-03-24,901.17,0,0,64.87,0,C
2023-03-25,856.94,0,0,47.47,0,B
2023-03-26,840.32,0,0,44.87,0,C
2023-03-27,971.1,0,0,51.52,0,B
2023-03-28,995.32,0,0,39.06,0,C
2023-03-29,1029.93,0,0,26.26,0,B
2023-03-30,1006.79,0,0,44.89,0,B
2023-03-31,935.58,0,0,27.43,0,A
2023-04-01,902.32,0,0,44.63,0,B
2023-04-02,888.03,0,0,53.42,0,A
2023-04-03,939.05,0,0,75.84,0,B
2023-04-04,1012.97,0,0,22.17,0,C
2023-04-05,966.14,0,0,57.29,0,B
2023-04-06,932.21,0,0,47.46,0,B
2023-04-07,866.65,0,0,21.22,0,A
2023-04-08,837.24,0,0,34.97,0,C
2023-04-09,908.31,0,0,27.11,0,B
2023-04-10,919.03,0,0,33.01,0,B
2023-04-11,1002.91,0,0,36.47,0,A
2023-04-12,1085.85,0,0,44.08,0,A
2023-04-13,976.72,0,0,51.74,0,A
2023-04-14,949.43,0,0,20.06,0,C
2023-04-15,872.37,5,1,347.81,0,C
2023-04-16,935.59,5,1,705.24,0,A
2023-04-17,917.94,0,0,52.98,0,A
2023-04-18,1004.08,0,0,39.74,0,C
2023-04-19,1067.14,0,0,52.9,0,B
2023-04-20,919.92,0,0,33.31,0,A
2023-04-21,936.09,0,0,21.45,0,B
2023-04-22,887.37,0,0,76.48,0,A
2023-04-23,866.69,0,0,26.5,0,A
2023-04-24,894.83,0,0,27.61,0,B
2023-04-25,1017.75,0,0,28.79,0,C
2023-04-26,1011.18,0,0,78.88,0,C
2023-04-27,996.81,0,0,57.06,0,A
2023-04-28,918.42,0,0,56.62,0,B
2023-04-29,938.91,0,0,79.2,0,C
2023-04-30,877.44,0,0,25.31,0,C
2023-05-01,910.67,0,0,78.47,0,C
2023-05-02,1018.37,0,0,32.24,0,A
2023-05-03,1036.03,0,0,57.38,0,A
2023-05-04,259.25,0,0,45.21,1,A
2023-05-05,945.77,0,0,43.04,0,A
2023-05-06,884.23,0,0,75.87,0,A
2023-05-07,940.8,0,0,28.95,0,A
2023-05-08,898.98,0,0,79.82,0,B
2023-05-09,980.78,0,0,42.75,0,B
2023-05-10,984.68,0,0,58.93,0,B
